Model,Scenario,Policy_category,Policy_category_name
POLES ENGAGE,EN_NPi2020_400f,P2,P2: Immediate global action
REMIND-MAgPIE 2.0-4.1,EN_NPi2020_400f,P2a,P2: Immediate global action without trade
TIAM-ECN 1.1,EN_NPi2020_400f,P2,P2: Immediate global action
WITCH 5.0,EN_NPi2020_400f,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_1.0,EN_NPi2020_450,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_1.0,EN_NPi2020_450f,P2,P2: Immediate global action
COFFEE 1.1,EN_NPi2020_500,P2,P2: Immediate global action
GEM-E3_092019,EN_NPi2020_500,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_1.0,EN_NPi2020_500,P2,P2: Immediate global action
POLES ENGAGE,EN_NPi2020_500,P2,P2: Immediate global action
REMIND-MAgPIE 2.0-4.1,EN_NPi2020_500,P2a,P2: Immediate global action without trade
TIAM-ECN 1.1,EN_NPi2020_500,P2,P2: Immediate global action
WITCH 5.0,EN_NPi2020_500,P2,P2: Immediate global action
AIM/CGE 2.2,EN_NPi2020_500f,P2,P2: Immediate global action
COFFEE 1.1,EN_NPi2020_500f,P2,P2: Immediate global action
GEM-E3_092019,EN_NPi2020_500f,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_1.0,EN_NPi2020_500f,P2,P2: Immediate global action
POLES ENGAGE,EN_NPi2020_500f,P2,P2: Immediate global action
REMIND-MAgPIE 2.0-4.1,EN_NPi2020_500f,P2a,P2: Immediate global action without trade
TIAM-ECN 1.1,EN_NPi2020_500f,P2,P2: Immediate global action
WITCH 5.0,EN_NPi2020_500f,P2,P2: Immediate global action
REMIND-MAgPIE 2.0-4.1,EN_NPi2020_500r,P2,P2: Immediate global action
AIM/CGE 2.2,EN_NPi2020_600,P2,P2: Immediate global action
COFFEE 1.1,EN_NPi2020_600,P2,P2: Immediate global action
GEM-E3_092019,EN_NPi2020_600,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_1.0,EN_NPi2020_600,P2,P2: Immediate global action
POLES ENGAGE,EN_NPi2020_600,P2,P2: Immediate global action
REMIND-MAgPIE 2.0-4.1,EN_NPi2020_600,P2a,P2: Immediate global action without trade
TIAM-ECN 1.1,EN_NPi2020_600,P2,P2: Immediate global action
WITCH 5.0,EN_NPi2020_600,P2,P2: Immediate global action
AIM/CGE 2.2,EN_NPi2020_600f,P2,P2: Immediate global action
COFFEE 1.1,EN_NPi2020_600f,P2,P2: Immediate global action
GEM-E3_092019,EN_NPi2020_600f,P2,P2: Immediate global action
IMAGE 3.0,EN_NPi2020_600f,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_1.0,EN_NPi2020_600f,P2,P2: Immediate global action
POLES ENGAGE,EN_NPi2020_600f,P2,P2: Immediate global action
REMIND-MAgPIE 2.0-4.1,EN_NPi2020_600f,P2a,P2: Immediate global action without trade
TIAM-ECN 1.1,EN_NPi2020_600f,P2,P2: Immediate global action
WITCH 5.0,EN_NPi2020_600f,P2,P2: Immediate global action
AIM/CGE 2.2,EN_NPi2020_700,P2,P2: Immediate global action
COFFEE 1.1,EN_NPi2020_700,P2,P2: Immediate global action
GEM-E3_092019,EN_NPi2020_700,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_1.0,EN_NPi2020_700,P2,P2: Immediate global action
POLES ENGAGE,EN_NPi2020_700,P2,P2: Immediate global action
REMIND-MAgPIE 2.0-4.1,EN_NPi2020_700,P2a,P2: Immediate global action without trade
TIAM-ECN 1.1,EN_NPi2020_700,P2,P2: Immediate global action
WITCH 5.0,EN_NPi2020_700,P2,P2: Immediate global action
AIM/CGE 2.2,EN_NPi2020_700f,P2,P2: Immediate global action
COFFEE 1.1,EN_NPi2020_700f,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_1.0,EN_NPi2020_700f,P2,P2: Immediate global action
POLES ENGAGE,EN_NPi2020_700f,P2,P2: Immediate global action
REMIND-MAgPIE 2.0-4.1,EN_NPi2020_700f,P2a,P2: Immediate global action without trade
TIAM-ECN 1.1,EN_NPi2020_700f,P2,P2: Immediate global action
WITCH 5.0,EN_NPi2020_700f,P2,P2: Immediate global action
REMIND-MAgPIE 2.0-4.1,EN_NPi2020_700r,P2a,P2: Immediate global action without trade
AIM/CGE 2.2,EN_NPi2020_800,P2,P2: Immediate global action
COFFEE 1.1,EN_NPi2020_800,P2,P2: Immediate global action
IMAGE 3.0,EN_NPi2020_800,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_1.0,EN_NPi2020_800,P2,P2: Immediate global action
POLES ENGAGE,EN_NPi2020_800,P2,P2: Immediate global action
REMIND-MAgPIE 2.0-4.1,EN_NPi2020_800,P2a,P2: Immediate global action without trade
TIAM-ECN 1.1,EN_NPi2020_800,P2,P2: Immediate global action
WITCH 5.0,EN_NPi2020_800,P2,P2: Immediate global action
AIM/CGE 2.2,EN_NPi2020_800f,P2,P2: Immediate global action
COFFEE 1.1,EN_NPi2020_800f,P2,P2: Immediate global action
IMAGE 3.0,EN_NPi2020_800f,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_1.0,EN_NPi2020_800f,P2,P2: Immediate global action
POLES ENGAGE,EN_NPi2020_800f,P2,P2: Immediate global action
TIAM-ECN 1.1,EN_NPi2020_800f,P2,P2: Immediate global action
WITCH 5.0,EN_NPi2020_800f,P2,P2: Immediate global action
AIM/CGE 2.2,EN_NPi2020_900,P2,P2: Immediate global action
COFFEE 1.1,EN_NPi2020_900,P2,P2: Immediate global action
GEM-E3_092019,EN_NPi2020_900,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_1.0,EN_NPi2020_900,P2,P2: Immediate global action
POLES ENGAGE,EN_NPi2020_900,P2,P2: Immediate global action
REMIND-MAgPIE 2.0-4.1,EN_NPi2020_900,P2a,P2: Immediate global action without trade
TIAM-ECN 1.1,EN_NPi2020_900,P2,P2: Immediate global action
WITCH 5.0,EN_NPi2020_900,P2,P2: Immediate global action
AIM/CGE 2.2,EN_NPi2020_900f,P2,P2: Immediate global action
COFFEE 1.1,EN_NPi2020_900f,P2,P2: Immediate global action
MESSAGEix-GLOBIOM_1.0,EN_NPi2020_900f,P2,P2: Immediate global action
POLES ENGAGE,EN_NPi2020_900f,P2,P2: Immediate global action
REMIND-MAgPIE 2.0-4.1,EN_NPi2020_900f,P2a,P2: Immediate global action without trade
TIAM-ECN 1.1,EN_NPi2020_900f,P2,P2: Immediate global action
WITCH 5.0,EN_NPi2020_900f,P2,P2: Immediate global action
REMIND-MAgPIE 2.0-4.1,EN_NPi2020_900r,P2a,P2: Immediate global action without trade
AIM/CGE 2.2,EN_NPi2100,P1b,P1b: Current policies
COFFEE 1.1,EN_NPi2100,P1b,P1b: Current policies
GEM-E3_092019,EN_NPi2100,P1b,P1b: Current policies
IMAGE 3.0,EN_NPi2100,P1b,P1b: Current policies
MESSAGEix-GLOBIOM_1.0,EN_NPi2100,P1b,P1b: Current policies
POLES ENGAGE,EN_NPi2100,P1b,P1b: Current policies
REMIND-MAgPIE 2.0-4.1,EN_NPi2100,P1c,P1c: NDC
TIAM-ECN 1.1,EN_NPi2100,P1b,P1b: Current policies
WITCH 5.0,EN_NPi2100,P1b,P1b: Current policies
IMAGE 3.0,EN_NoPolicy,P1a,P1a: Baseline
MESSAGEix-GLOBIOM_1.0,EN_NoPolicy,P1a,P1a: Baseline
TIAM-ECN 1.1,EN_NoPolicy,P1a,P1a: Baseline
WITCH 5.0,EN_NoPolicy,P1a,P1a: Baseline
IEA World Energy Model 2017,Faster Transition Scenario,P2,P2: Immediate global action
MIGRATION 1.0,GDP_SSP1_zeromig,P0,P0: Diagnostic
MIGRATION 1.0,GDP_SSP2_zeromig,P0,P0: Diagnostic
MIGRATION 1.0,GDP_SSP3_zeromig,P0,P0: Diagnostic
MIGRATION 1.0,GDP_SSP4_zeromig,P0,P0: Diagnostic
MIGRATION 1.0,GDP_SSP5_zeromig,P0,P0: Diagnostic
MESSAGE V.3,GEA_Eff_1p5C,P2,P2: Immediate global action
MESSAGE V.3,GEA_Eff_1p5C_Delay2020,P2,P2: Immediate global action
MESSAGE V.3,GEA_Eff_2C_Delay2020,P2,P2: Immediate global action
MESSAGE V.3,GEA_Eff_AdvNCO2_1p5C,P2,P2: Immediate global action
MESSAGE V.3,GEA_Eff_base,P1a,P1a: Baseline
MESSAGE V.3,GEA_Mix_1p5C_AdvNCO2_PartialDelay2020,P2,P2: Immediate global action
MESSAGE V.3,GEA_Mix_1p5C_AdvTrans_PartialDelay2020,P2,P2: Immediate global action
MESSAGE V.3,GEA_Mix_2C_AdvNCO2_PartialDelay2020,P2,P2: Immediate global action
MESSAGE V.3,GEA_Mix_2C_AdvTrans_PartialDelay2020,P2,P2: Immediate global action
MESSAGE V.3,GEA_Mix_base,P1a,P1a: Baseline
MIGRATION 1.0,GINIBTW_SSP1_zeromig,P0,P0: Diagnostic
MIGRATION 1.0,GINIBTW_SSP2_zeromig,P0,P0: Diagnostic
MIGRATION 1.0,GINIBTW_SSP3_zeromig,P0,P0: Diagnostic
MIGRATION 1.0,GINIBTW_SSP4_zeromig,P0,P0: Diagnostic
MIGRATION 1.0,GINIBTW_SSP5_zeromig,P0,P0: Diagnostic
GMM-17,Hard_Rock,P???,P???: Unknown
GCAM 4.0,High CO2 price,P1d,P1d: Other policies
TIAM-WORLD 1.0,High CO2 price,P1d,P1d: Other policies
Reference,IEA Energy Statistics (r2017),P???,P???: Unknown
IMAGE 3.0.1,IMA15-AGInt,P???,P???: Unknown
IMAGE 3.0.1,IMA15-Def,P???,P???: Unknown
IMAGE 3.0.1,IMA15-Eff,P???,P???: Unknown
IMAGE 3.0.1,IMA15-LiStCh,P???,P???: Unknown
IMAGE 3.0.1,IMA15-LoNCO2,P???,P???: Unknown
IMAGE 3.0.1,IMA15-Pop,P???,P???: Unknown
IMAGE 3.0.1,IMA15-RenElec,P???,P???: Unknown
IMAGE 3.0.1,IMA15-TOT,P???,P???: Unknown
AIM/Hub-Global 2.0,INDCSamePrice,P2,P2: Immediate global action
MESSAGEix-GLOBIOM 1.0,"Immediate 1.5C with CDR (Orderly, Alt)",P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,"Immediate 1.5C with CDR (Orderly, Alt)",P2a,P2: Immediate global action without trade
MESSAGEix-GLOBIOM 1.0,"Immediate 1.5C with limited CDR (Disorderly, Alt)",P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,"Immediate 1.5C with limited CDR (Disorderly, Alt)",P2a,P2: Immediate global action without trade
GCAM 5.2,"Immediate 2C with CDR (Orderly, Rep)",P2,P2: Immediate global action
MESSAGEix-GLOBIOM 1.0,"Immediate 2C with CDR (Orderly, Rep)",P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,"Immediate 2C with CDR (Orderly, Rep)",P2a,P2: Immediate global action without trade
MESSAGEix-GLOBIOM 1.0,"Immediate 2C with limited CDR (Orderly, Alt)",P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,"Immediate 2C with limited CDR (Orderly, Alt)",P2a,P2: Immediate global action without trade
REMIND 2.1,LeastTotalCost_Base_brkLR15_SSP1_P50,P1a,P1a: Baseline
REMIND 2.1,LeastTotalCost_Base_brkLR15_SSP2_P50,P1a,P1a: Baseline
REMIND 2.1,LeastTotalCost_Base_brkLR15_SSP5_P50,P1a,P1a: Baseline
REMIND 2.1,LeastTotalCost_Base_brkSR15_SSP1_P50,P1a,P1a: Baseline
REMIND 2.1,LeastTotalCost_Base_brkSR15_SSP2_P50,P1a,P1a: Baseline
REMIND 2.1,LeastTotalCost_Base_brkSR15_SSP5_P50,P1a,P1a: Baseline
REMIND 2.1,LeastTotalCost_CBA_brkLR15_SSP2_P50,P1c,P1c: NDC
REMIND 2.1,LeastTotalCost_CBA_brkSR15_SSP2_P50,P1c,P1c: NDC
REMIND 2.1,LeastTotalCost_CEA_brkLR15_SSP2_P50,P2a,P2: Immediate global action without trade
REMIND 2.1,LeastTotalCost_CEA_brkSR15_SSP2_P50,P2,P2: Immediate global action
REMIND 2.1,LeastTotalCost_LTC_brkLR15_SSP1_P50,P2,P2: Immediate global action
REMIND 2.1,LeastTotalCost_LTC_brkLR15_SSP2_P50,P2,P2: Immediate global action
REMIND 2.1,LeastTotalCost_LTC_brkLR15_SSP5_P50,P2,P2: Immediate global action
REMIND 2.1,LeastTotalCost_LTC_brkSR15_SSP1_P50,P2,P2: Immediate global action
REMIND 2.1,LeastTotalCost_LTC_brkSR15_SSP2_P50,P2,P2: Immediate global action
REMIND 2.1,LeastTotalCost_LTC_brkSR15_SSP5_P50,P2,P2: Immediate global action
REMIND 2.1,LeastTotalCost_NDC_brkLR15_SSP2_P50,P1c,P1c: NDC
REMIND 2.1,LeastTotalCost_NDC_brkSR15_SSP2_P50,P1c,P1c: NDC
REMIND 2.1,LeastTotalCost_NPi_brkLR15_SSP1_P50,P1b,P1b: Current policies
REMIND 2.1,LeastTotalCost_NPi_brkLR15_SSP2_P50,P1b,P1b: Current policies
REMIND 2.1,LeastTotalCost_NPi_brkLR15_SSP5_P50,P1b,P1b: Current policies
REMIND 2.1,LeastTotalCost_NPi_brkSR15_SSP1_P50,P1b,P1b: Current policies
REMIND 2.1,LeastTotalCost_NPi_brkSR15_SSP2_P50,P1b,P1b: Current policies
REMIND 2.1,LeastTotalCost_NPi_brkSR15_SSP5_P50,P1b,P1b: Current policies
GCAM 4.0,Low CO2 price,P1d,P1d: Other policies
TIAM-WORLD 1.0,Low CO2 price,P1d,P1d: Other policies
MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC ,P2,P2: Immediate global action
Reference,MAGICC6,P???,P???: Unknown
HEB 2.0,Moderate,P???,P???: Unknown
GMM-17,Modern_Jazz,P???,P???: Unknown
TIAM-ECN KEN 1.1,NDC,P1c,P1c: NDC
PROMETHEUS 1.0,NDCMCS,P1c,P1c: NDC
REMIND-EDGET 2.1,NDC_ConvCase,P1c,P1c: NDC
REMIND-EDGET 2.1,NDC_ConvCaseWise,P1c,P1c: NDC
MESSAGEix-GLOBIOM 1.0,"Nationally determined contributions (NDCs) (Hot house world, Alt)",P1c,P1c: NDC
REMIND-MAgPIE 1.7-3.0,"Nationally determined contributions (NDCs) (Hot house world, Alt)",P1c,P1c: NDC
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,P3b,P3b: NDC + Delayed global action
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,P2a,P2: Immediate global action without trade
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,P3c,P3c: Other policies + Delayed global action
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,P3c,P3c: Other policies + Delayed global action
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,P2a,P2: Immediate global action without trade
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,P3b,P3b: NDC + Delayed global action
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,P2a,P2: Immediate global action without trade
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,P3c,P3c: Other policies + Delayed global action
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,P3c,P3c: Other policies + Delayed global action
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,P3b,P3b: NDC + Delayed global action
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,P2a,P2: Immediate global action without trade
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,P3c,P3c: Other policies + Delayed global action
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,P3c,P3c: Other policies + Delayed global action
REMIND-MAgPIE 1.7-3.0,PEP_NDC,P1c,P1c: NDC
REMIND-MAgPIE 1.7-3.0,PEP_NPi,P1b,P1b: Current policies
REMIND-MAgPIE 1.7-3.0,PEP_NoPolicy,P1a,P1a: Baseline
REMIND-MAgPIE 1.7-3.0,PEP_goodpractice,P1d,P1d: Other policies
REMIND-MAgPIE 1.7-3.0,PEP_netzero,P1d,P1d: Other policies
MIGRATION 1.0,POP_SSP1_zeromig,P0,P0: Diagnostic
MIGRATION 1.0,POP_SSP2_zeromig,P0,P0: Diagnostic
MIGRATION 1.0,POP_SSP3_zeromig,P0,P0: Diagnostic
MIGRATION 1.0,POP_SSP4_zeromig,P0,P0: Diagnostic
MIGRATION 1.0,POP_SSP5_zeromig,P0,P0: Diagnostic
EPPA 6,Paris1.5C_OptTax,P2,P2: Immediate global action
EPPA 6,Paris2C_Gradual,P2,P2: Immediate global action
EPPA 6,Paris2C_OptTax,P2,P2: Immediate global action
EPPA 6,ParisFlat,P???,P???: Unknown
EPPA 6,ParisForever,P???,P???: Unknown
GCAM 4.0,Policy baseline,P1b,P1b: Current policies
TIAM-WORLD 1.0,Policy baseline,P1b,P1b: Current policies
EDGE-Buildings 2.0,Practices-low,P???,P???: Unknown
EDGE-Buildings 2.0,Practices-reference,P1b,P1b: Current policies
EDGE-Buildings 2.0,Practices-verylow,P???,P???: Unknown
Reference,RCP,P2,P2: Immediate global action
TIAM-ECN ETH 1.1,RCP2.6,P2,P2: Immediate global action
MAGICC6,RCP3PD,P2,P2: Immediate global action
MAGICC6,RCP45,P2,P2: Immediate global action
MAGICC6,RCP6,P2,P2: Immediate global action
MAGICC6,RCP85,P2,P2: Immediate global action
TIAM-ECN AFR 1.1,REF,P1b,P1b: Current policies
TIAM-ECN KEN 1.1,REF,P1b,P1b: Current policies
C-ROADS-5.005,Ratchet-1.5-allCDR,P2,P2: Immediate global action
En-ROADS-96,Ratchet-1.5-allCDR,P2,P2: Immediate global action
C-ROADS-5.005,Ratchet-1.5-limCDR,P2,P2: Immediate global action
En-ROADS-96,Ratchet-1.5-limCDR,P2,P2: Immediate global action
C-ROADS-5.005,Ratchet-1.5-limCDR-noOS,P2,P2: Immediate global action
C-ROADS-5.005,Ratchet-1.5-noCDR,P2,P2: Immediate global action
C-ROADS-5.005,Ratchet-1.5-noCDR-noOS,P2,P2: Immediate global action
EPPA 6,Ref,P1b,P1b: Current policies
C-ROADS-5.005,Reference,P1b,P1b: Current policies
En-ROADS-96,Reference,P1b,P1b: Current policies
WEM 2019,SDS,P2,P2: Immediate global action
AIM/CGE 2.0,SFCM_SSP2_Bio_1p5Degree,P2,P2: Immediate global action
AIM/CGE 2.0,SFCM_SSP2_Bio_2Degree,P2,P2: Immediate global action
AIM/CGE 2.0,SFCM_SSP2_Bio_Baseline,P1a,P1a: Baseline
AIM/CGE 2.0,SFCM_SSP2_EEEI_1p5Degree,P2,P2: Immediate global action
AIM/CGE 2.0,SFCM_SSP2_EEEI_2Degree,P2,P2: Immediate global action
AIM/CGE 2.0,SFCM_SSP2_EEEI_Baseline,P1a,P1a: Baseline
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_1p5Degree,P2,P2: Immediate global action
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_2Degree,P2,P2: Immediate global action
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_Baseline,P1a,P1a: Baseline
AIM/CGE 2.0,SFCM_SSP2_Ref_1p5Degree,P2,P2: Immediate global action
AIM/CGE 2.0,SFCM_SSP2_Ref_2Degree,P2,P2: Immediate global action
AIM/CGE 2.0,SFCM_SSP2_Ref_Baseline,P1b,P1b: Current policies
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_1p5Degree,P2,P2: Immediate global action
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_2Degree,P2,P2: Immediate global action
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_Baseline,P1a,P1a: Baseline
AIM/CGE 2.0,SFCM_SSP2_ST_bio_1p5Degree,P2,P2: Immediate global action
AIM/CGE 2.0,SFCM_SSP2_ST_bio_2Degree,P2,P2: Immediate global action
AIM/CGE 2.0,SFCM_SSP2_ST_bio_Baseline,P1a,P1a: Baseline
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_1p5Degree,P2,P2: Immediate global action
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_2Degree,P2,P2: Immediate global action
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_Baseline,P1a,P1a: Baseline
AIM/CGE 2.0,SFCM_SSP2_ST_solar_1p5Degree,P2,P2: Immediate global action
AIM/CGE 2.0,SFCM_SSP2_ST_solar_2Degree,P2,P2: Immediate global action
AIM/CGE 2.0,SFCM_SSP2_ST_solar_Baseline,P1a,P1a: Baseline
AIM/CGE 2.0,SFCM_SSP2_ST_wind_1p5Degree,P2,P2: Immediate global action
AIM/CGE 2.0,SFCM_SSP2_ST_wind_2Degree,P2,P2: Immediate global action
AIM/CGE 2.0,SFCM_SSP2_ST_wind_Baseline,P1a,P1a: Baseline
AIM/CGE 2.0,SFCM_SSP2_SupTech_1p5Degree,P2,P2: Immediate global action
AIM/CGE 2.0,SFCM_SSP2_SupTech_2Degree,P2,P2: Immediate global action
AIM/CGE 2.0,SFCM_SSP2_SupTech_Baseline,P1a,P1a: Baseline
AIM/CGE 2.0,SFCM_SSP2_combined_1p5Degree,P2,P2: Immediate global action
AIM/CGE 2.0,SFCM_SSP2_combined_2Degree,P2,P2: Immediate global action
AIM/CGE 2.0,SFCM_SSP2_combined_Baseline,P1a,P1a: Baseline
REMIND-MAgPIE 1.7-3.0,SMP_1p5C_Def,P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,SMP_1p5C_Sust,P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,SMP_1p5C_early,P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,SMP_1p5C_lifesty,P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,SMP_1p5C_regul,P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,SMP_2C_Def,P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,SMP_2C_Sust,P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,SMP_2C_early,P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,SMP_2C_lifesty,P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,SMP_2C_regul,P2,P2: Immediate global action
REMIND-MAgPIE 1.7-3.0,SMP_REF_Def,P1b,P1b: Current policies
REMIND-MAgPIE 1.7-3.0,SMP_REF_Sust,P1b,P1b: Current policies
EDGE-Buildings 1.0,SSP1,P1a,P1a: Baseline
EDGE-Buildings 3.0,SSP1,P1a,P1a: Baseline
MIGRATION 1.0,SSP1-1.9_zeromig,P0,P0: Diagnostic
AIM 2.0,SSP1-19,P2,P2: Immediate global action
AIM/CGE 2.0,SSP1-19,P2,P2: Immediate global action
GCAM 4.2,SSP1-19,P2,P2: Immediate global action
IMAGE 3.0.1,SSP1-19,P2,P2: Immediate global action
MESSAGE-GLOBIOM 1.0,SSP1-19,P2,P2: Immediate global action
REMIND-MAgPIE 1.5,SSP1-19,P2,P2: Immediate global action
WITCH-GLOBIOM 3.1,SSP1-19,P2,P2: Immediate global action
AIM 2.0,SSP1-26,P2,P2: Immediate global action
AIM/CGE 2.0,SSP1-26,P2,P2: Immediate global action
GCAM 4.2,SSP1-26,P2,P2: Immediate global action
IMAGE 3.0.1,SSP1-26,P2,P2: Immediate global action
MESSAGE-GLOBIOM 1.0,SSP1-26,P2,P2: Immediate global action
REMIND-MAgPIE 1.5,SSP1-26,P2,P2: Immediate global action
WITCH-GLOBIOM 3.1,SSP1-26,P2,P2: Immediate global action
AIM 2.0,SSP1-34,P2,P2: Immediate global action
AIM/CGE 2.0,SSP1-34,P2,P2: Immediate global action
GCAM 4.2,SSP1-34,P2,P2: Immediate global action
IMAGE 3.0.1,SSP1-34,P2,P2: Immediate global action
MESSAGE-GLOBIOM 1.0,SSP1-34,P2,P2: Immediate global action
REMIND-MAgPIE 1.5,SSP1-34,P2,P2: Immediate global action
WITCH-GLOBIOM 3.1,SSP1-34,P2,P2: Immediate global action
AIM 2.0,SSP1-45,P2,P2: Immediate global action
AIM/CGE 2.0,SSP1-45,P2,P2: Immediate global action
GCAM 4.2,SSP1-45,P2,P2: Immediate global action
IMAGE 3.0.1,SSP1-45,P2,P2: Immediate global action
MESSAGE-GLOBIOM 1.0,SSP1-45,P2,P2: Immediate global action
REMIND-MAgPIE 1.5,SSP1-45,P2,P2: Immediate global action
WITCH-GLOBIOM 3.1,SSP1-45,P2,P2: Immediate global action
REMIND 2.1,SSP1-Base,P1a,P1a: Baseline
AIM 2.0,SSP1-Baseline,P1a,P1a: Baseline
AIM/CGE 2.0,SSP1-Baseline,P1a,P1a: Baseline
GCAM 4.2,SSP1-Baseline,P1a,P1a: Baseline
IMAGE 3.0.1,SSP1-Baseline,P1a,P1a: Baseline
MESSAGE-GLOBIOM 1.0,SSP1-Baseline,P1a,P1a: Baseline
REMIND-MAgPIE 1.5,SSP1-Baseline,P1a,P1a: Baseline
WITCH-GLOBIOM 3.1,SSP1-Baseline,P1a,P1a: Baseline
REMIND 2.1,SSP1-NDC,P1c,P1c: NDC
REMIND 2.1,SSP1-NPi,P1b,P1b: Current policies
REMIND 2.1,SSP1-PkBudg1100,P2a,P2: Immediate global action without trade
REMIND 2.1,SSP1-PkBudg1300,P2a,P2: Immediate global action without trade
REMIND 2.1,SSP1-PkBudg900,P2a,P2: Immediate global action without trade
C3IAM 1.0,SSP1_5.0,P2,P2: Immediate global action
C3IAM 1.0,SSP1_BAU,P1a,P1a: Baseline
C3IAM 1.0,SSP1_NDC,P1c,P1c: NDC
IMACLIM 1.1,SSP1_NoPolicy_TranspBase,P1a,P1a: Baseline
IMACLIM 1.1,SSP1_NoPolicy_TranspOpt,P1a,P1a: Baseline
IMACLIM 1.1,SSP1_RCP34_TranspBase,P2,P2: Immediate global action
IMACLIM 1.1,SSP1_RCP34_TranspOpt,P2,P2: Immediate global action
IMACLIM 1.1,SSP1_RCP45_TranspBase,P2,P2: Immediate global action
IMACLIM 1.1,SSP1_RCP45_TranspOpt,P2,P2: Immediate global action
MIGRATION 1.0,SSP1_zeromig,P0,P0: Diagnostic
EDGE-Buildings 1.0,SSP2,P1a,P1a: Baseline
EDGE-Buildings 3.0,SSP2,P1a,P1a: Baseline
AIM 2.0,SSP2-19,P2,P2: Immediate global action
AIM/CGE 2.0,SSP2-19,P2,P2: Immediate global action
GCAM 4.2,SSP2-19,P2,P2: Immediate global action
MESSAGE-GLOBIOM 1.0,SSP2-19,P2,P2: Immediate global action
REMIND-MAgPIE 1.5,SSP2-19,P2,P2: Immediate global action
AIM 2.0,SSP2-26,P2,P2: Immediate global action
AIM/CGE 2.0,SSP2-26,P2,P2: Immediate global action
GCAM 4.2,SSP2-26,P2,P2: Immediate global action
IMAGE 3.0.1,SSP2-26,P2,P2: Immediate global action
MESSAGE-GLOBIOM 1.0,SSP2-26,P2,P2: Immediate global action
REMIND-MAgPIE 1.5,SSP2-26,P2,P2: Immediate global action
WITCH-GLOBIOM 3.1,SSP2-26,P2,P2: Immediate global action
AIM 2.0,SSP2-34,P2,P2: Immediate global action
AIM/CGE 2.0,SSP2-34,P2,P2: Immediate global action
GCAM 4.2,SSP2-34,P2,P2: Immediate global action
IMAGE 3.0.1,SSP2-34,P2,P2: Immediate global action
MESSAGE-GLOBIOM 1.0,SSP2-34,P2,P2: Immediate global action
REMIND-MAgPIE 1.5,SSP2-34,P2,P2: Immediate global action
WITCH-GLOBIOM 3.1,SSP2-34,P2,P2: Immediate global action
MIGRATION 1.0,SSP2-4.5_zeromig,P0,P0: Diagnostic
AIM 2.0,SSP2-45,P2,P2: Immediate global action
AIM/CGE 2.0,SSP2-45,P2,P2: Immediate global action
GCAM 4.2,SSP2-45,P2,P2: Immediate global action
IMAGE 3.0.1,SSP2-45,P2,P2: Immediate global action
